timestamp,price,market_caps,total_volumes
2025-11-30 21:41:03.939,437.23227616013816,7161523539.960548,697898268.4211041
2025-11-30 21:45:42.080,437.367948405931,7177550622.322365,693936726.3082149
2025-11-30 21:50:58.966,437.3256933466378,7180159781.391718,696379600.6556578
2025-11-30 21:55:25.846,438.3747300636025,7179250449.441652,697321795.7975315
2025-11-30 22:00:25.396,438.8734242107163,7197230395.228494,700491922.584667
2025-11-30 22:06:32.508,439.9106921031234,7212777688.8585,630814337.6072886
2025-11-30 22:11:30.670,439.5888426635501,7212777688.8585,623650951.6862857
2025-11-30 22:17:06.823,439.7765374230015,7220159191.9968815,628531375.900979
2025-11-30 22:22:09.439,440.13600463188624,7220159191.9968815,629332874.8451763
2025-11-30 22:27:19.216,439.83979644150855,7224386495.083191,632410924.3367844
2025-11-30 22:32:19.921,439.2374853894436,7220738016.372852,701581134.121852
2025-11-30 22:36:36.833,438.34503146188433,7203697320.850175,701060205.5187693
2025-11-30 22:40:53.500,437.4716318618255,7181914233.562304,701623057.8215758
2025-11-30 22:46:34.827,436.3570458021025,7166209398.7976055,701138700.1883681
2025-11-30 22:51:30.006,435.1550375563696,7140946386.080425,702388211.1290836
2025-11-30 22:55:43.920,434.48934504516774,7132633466.974084,629520735.7827889
2025-11-30 23:01:25.775,435.12801443640586,7143070245.387057,702687012.8994843
2025-11-30 23:06:30.725,434.52170849800063,7140833856.942849,697832759.1460662
2025-11-30 23:11:46.809,432.6532927297051,7114644843.060329,697479298.829689
2025-11-30 23:17:12.397,431.8799818373386,7114644843.060329,697032047.1188241
2025-11-30 23:22:09.849,431.63513064468617,7114644843.060329,627923228.2227871
2025-11-30 23:27:19.706,429.8299790648004,7082611812.392291,626670213.0906922
2025-11-30 23:32:19.060,429.8754142794433,7061154770.869433,700044481.2600315
2025-11-30 23:37:07.488,429.7452355936081,7061684700.566559,701868186.9071177
2025-11-30 23:40:45.802,429.5226199468448,7054668806.662946,633391972.9649825
2025-11-30 23:46:20.779,429.8078131402287,7052532375.181038,635158643.6706225
2025-11-30 23:50:13.300,431.48287041679646,7080728148.959446,709275158.0339447
2025-11-30 23:55:37.618,430.5259515850158,7080314278.483251,711346828.19412
2025-12-01 00:01:12.142,428.75915630248824,7045403276.678822,713823932.6788422
2025-12-01 00:07:29.418,427.87658142917786,7040002915.55596,646439496.665464
2025-12-01 00:11:25.131,420.7301227443533,7040002915.55596,729235850.5183562
2025-12-01 00:16:30.292,411.7945100272213,7040002915.55596,638064738.9196156
2025-12-01 00:21:54.835,409.7743350965107,6734799872.113172,683627591.1974298
2025-12-01 00:27:19.532,407.5283398879282,6734799872.113172,695200894.2198914
2025-12-01 00:32:10.763,405.63262735058134,6734799872.113172,699319395.8735508
2025-12-01 00:37:35.637,403.5246318678702,6628915377.702657,712715746.4984273
2025-12-01 00:40:29.230,396.87726546838707,6628915377.702657,729130259.2173424
2025-12-01 00:47:27.085,396.14572548770985,6506544262.100765,747363326.885258
2025-12-01 00:51:53.252,396.63082620396057,6510674710.634147,754283985.6037208
2025-12-01 00:56:53.347,392.683156231722,6458538296.6800585,757606169.476402
2025-12-01 01:00:30.597,392.600273000291,6458538296.6800585,761296076.1170607
2025-12-01 01:06:09.281,391.8966236194136,6443295359.651487,761306922.880579
2025-12-01 01:10:46.832,391.0316122798355,6431390104.067936,748074665.4302568
2025-12-01 01:16:05.617,388.79234751033846,6383100582.0910635,783269046.7420708
2025-12-01 01:22:07.889,389.18252715790175,6383100582.0910635,791052668.5118582
2025-12-01 01:27:27.556,389.65474255048264,6383100582.0910635,797507731.8945357
2025-12-01 01:32:06.997,389.15039272635767,6396551261.402188,800039476.0367177
2025-12-01 01:37:42.116,384.4925680342201,6366808237.845202,815433812.5347826
2025-12-01 01:42:35.941,383.5556930035564,6313631902.740846,822656737.8811263
2025-12-01 01:46:02.731,384.95962527230694,6309784279.283689,893185657.6696851
2025-12-01 01:51:05.271,383.8673467863631,6299185960.872183,893866857.3443694
2025-12-01 01:55:57.133,383.6443652070732,6305161465.270481,896380063.1882993
2025-12-01 02:01:05.087,383.55362592095526,6291013105.989236,902703202.1973934
2025-12-01 02:06:20.213,384.1714630434277,6294117210.969015,905327115.0027936
2025-12-01 02:10:39.631,384.6052557652255,6327671572.225839,908718495.7115978
2025-12-01 02:16:06.648,385.3825819046545,6327671572.225839,910557722.6354668
2025-12-01 02:21:31.236,388.0735094994794,6327671572.225839,917607643.967463
2025-12-01 02:26:34.497,389.7238873418819,6370230845.490507,923410074.51878
2025-12-01 02:31:54.401,389.79087247107935,6405145110.18715,925363680.721174
2025-12-01 02:36:58.756,388.1547855898313,6397373291.557416,928817621.144122
2025-12-01 02:41:53.934,387.829669763496,6364700011.137599,932579737.9320087
2025-12-01 02:46:42.618,386.98133021244263,6373586507.402881,934401152.6379389
2025-12-01 02:52:10.540,385.0102500810784,6344460169.665391,934700972.114664
2025-12-01 02:55:27.003,384.3500622399889,6314876265.345213,936610835.232054
2025-12-01 03:02:19.852,383.9571934385586,6309486427.783764,937398733.865228
2025-12-01 03:06:52.845,383.0628501006056,6300674029.364559,933686270.4866748
2025-12-01 03:10:26.388,381.8028328243528,6285853125.621343,934055214.2824844
2025-12-01 03:15:38.125,379.73525937911376,6285853125.621343,866138983.7676611
2025-12-01 03:21:52.093,377.6411604096527,6285853125.621343,872030802.7112762
2025-12-01 03:26:57.985,376.81695061518985,6203215812.302606,872347409.1381482
2025-12-01 03:30:45.276,376.1776517697587,6181335530.683456,874198629.2258397
